event_alias,bounded_context,class,producer,flow_pattern,authoritative_source,aggregate,synchronous_write_set,canonical_store,outbox_required,ordering,consumers,external_effect,retry_policy,dead_letter,reconciliation,privacy_class,evidence_kind,feature_input,retention_class,required_data,optional_data,notes
identity.invitation.created,identity,domain,identity,internal_domain_transaction,platform_domain_transaction,invitation,domain state; canonical_event; outbox,immutable canonical event store,yes,invitation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,notification_orchestrator;audit_projection,notification job may be created,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,invitation_id;entrepreneur_id;purpose;expires_at,business_id;program_id;journey_version_id,
identity.invitation.sent,identity,integration,notification_connector,external_delivery_callback,verified_external_source_then_internal_canonical_event,invitation,delivery_receipt or observation; canonical_event/outbox,immutable canonical event store,yes,invitation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,delivery_projection,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,pseudonymous,external_confirmed,ineligible,operational,invitation_id;delivery_id;channel;provider,template_version,
identity.invitation.delivered,identity,integration,notification_connector,external_delivery_callback,verified_external_source_then_internal_canonical_event,invitation,delivery_receipt or observation; canonical_event/outbox,immutable canonical event store,yes,invitation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,delivery_projection,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,pseudonymous,external_confirmed,conditional,operational,invitation_id;delivery_id;channel;delivered_at,,
identity.invitation.opened,identity,behavioral,notification_connector,external_delivery_callback,verified_external_source_then_internal_canonical_event,invitation,delivery_receipt or observation; canonical_event/outbox,immutable canonical event store,yes,invitation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,engagement_projection,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,pseudonymous,external_observed,weak_only,operational,invitation_id;delivery_id;channel,client_time,Não usar isoladamente; abertura pode ser bloqueada ou simulada pelo provedor.
identity.account.registered,identity,domain,identity,internal_domain_transaction,platform_domain_transaction,user_account,domain state; canonical_event; outbox,immutable canonical event store,yes,user_account: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,identity_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,user_account_id;entrepreneur_id;registration_method,,
identity.email.verified,identity,domain,identity,internal_domain_transaction,platform_domain_transaction,user_account,domain state; canonical_event; outbox,immutable canonical event store,yes,user_account: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,identity_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,user_account_id;verified_at,,
identity.account.activated,identity,domain,identity,internal_domain_transaction,platform_domain_transaction,user_account,domain state; canonical_event; outbox,immutable canonical event store,yes,user_account: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,identity_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,user_account_id;entrepreneur_id,,
identity.account.suspended,identity,audit,identity,privileged_transaction,platform_domain_transaction,user_account,domain/audit state; canonical_event; outbox; audit metadata,immutable canonical event store,yes,user_account: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,authorization_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,user_account_id;reason_code;suspended_by,expires_at,
identity.authentication.succeeded,identity,audit,identity,privileged_transaction,platform_domain_transaction,authentication,domain/audit state; canonical_event; outbox; audit metadata,immutable canonical event store,yes,received_at; no behavioral ordering guarantee,security_monitoring,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_acknowledged,ineligible,security_short,user_account_id;authentication_method,session_id;risk_signals,
identity.authentication.failed,identity,audit,identity,privileged_transaction,platform_domain_transaction,authentication,domain/audit state; canonical_event; outbox; audit metadata,immutable canonical event store,yes,received_at; no behavioral ordering guarantee,security_monitoring,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_acknowledged,ineligible,security_short,principal_hash;reason_code,risk_signals,
